"Id","Link","Make","Model","Trim","Year","Price","Mileage","L_Predicted_Price","L_Price_Gap_Percentage","Average_Year_per_Trim","Average_Milerange_per_Trim_Year_LR","Average_Price_per_Trim","Year_Effect","Mileage_Effect"
"1712255147-11664","https://qatarsale.com/en/product/bmw_7_series_730_li_light_gold_sedan_automatic_2019-190359","BMW","BMW-7-Series","BMW-BMW-7-Series-730 Li-6-Automatic","2019","120,000"," 73,700","159,320.18",32.7668133425403,"2,017.404"," 73,161.94","118,116.98"," 42,965.586"," -1,762.3888"
"1712254136-8941","https://qatarsale.com/en/product/bmw_7_series_730_li_gray_sedan_automatic_2019-158947","BMW","BMW-7-Series","BMW-BMW-7-Series-730 Li-6-Automatic","2019","129,000"," 62,000","161,897.50",25.5019356961901,"2,017.404"," 73,161.94","118,116.98"," 42,965.586","    814.9322"
"1712255560-12764","https://qatarsale.com/en/product/bmw_7_series_740_li_silver_sedan_automatic_2020-201904","BMW","BMW-7-Series","BMW-BMW-7-Series-740 Li-6-Automatic","2020","185,000"," 24,000","229,250.71",23.9193043910336,"2,017.385"," 52,356.39","138,923.04"," 82,410.523","  7,917.1516"
"1712251377-1275","https://qatarsale.com/en/product/bmw_x_series_x6_2016_white_automatic_suv-132906","BMW","BMW-X-Series","BMW-BMW-X-Series-X6-6-Automatic","2016"," 80,000"," 70,000"," 99,988.25",24.9853123379314,"2,018.062","105,151.80","152,117.12"," -57,453.0548","  5,324.1797"
"1712254567-10097","https://qatarsale.com/en/product/bmw_x_series_x6_white_suv_automatic_2022-196500","BMW","BMW-X-Series","BMW-BMW-X-Series-X6-6-Automatic","2022","230,000"," 20,000","278,158.35",20.9384124397409,"2,018.062"," 40,451.10","152,117.12"," 117,227.7846","  8,813.4390"
"1712254227-9199","https://qatarsale.com/en/product/bmw_x_series_x6_black_suv_automatic_2015-192567","BMW","BMW-X-Series","BMW-BMW-X-Series-X6-8-Automatic","2016"," 89,000"," 62,000","116,842.60",31.2838147315922,"2,016.056","95,233.33","108,333.33","  3,975","  4,534.2618"
"1712256025-13872","https://qatarsale.com/en/product/bmw_x_series_x5_gray_nardo_suv_automatic_2017-147770","BMW","BMW-X-Series","BMW-BMW-X-Series-X6-8-Automatic","2017","133,000"," 52,000","167,420.65",25.8801901420249,"2,016.056","95,766.67","108,333.33"," 50,025","  9,062.3196"
"1712256288-14604","https://qatarsale.com/en/product/cadillac_escalade_platinum_white_suv_automatic_2019-209815","Cadillac","Cadillac-Escalade","Cadillac-Cadillac-Escalade-Platinum-8-Automatic","2019","149,000"," 79,000","204,423.44",37.1969424596555,"2,018.00","68,466.67","184,222.17","  24,044.492"," -3,843.2141"
"1712255935-13610","https://qatarsale.com/en/product/cadillac_escalade_platinum_black_suv_automatic_2019-208333","Cadillac","Cadillac-Escalade","Cadillac-Cadillac-Escalade-Platinum-8-Automatic","2019","157,000"," 61,000","207,755.71",32.3284782154268,"2,018.00","68,466.67","184,222.17","  24,044.492","   -510.9475"
"1712256025-13866","https://qatarsale.com/en/product/cadillac_escalade_white_suv_automatic_2020-208838","Cadillac","Cadillac-Escalade","Cadillac-Cadillac-Escalade-Standard-8-Automatic","2020","159,000"," 77,000","225,964.91",42.116296296296,"2,016.889"," 73,333.33","126,166.67","102,234.52"," -2,436.2794"
