"Id","Link","Make","Model","Trim","Year","Price","Mileage","L_Predicted_Price","L_Price_Gap_Percentage","Average_Year_per_Trim","Average_Milerange_per_Trim_Year_LR","Average_Price_per_Trim","Year_Effect","Mileage_Effect"
"1712650239-305","https://qatarsale.com/en/product/audi_q8_s_line_gray_nardo_suv_automatic_2023-215359","Audi","Audi-Q8","Audi-Audi-Q8-S-Line-6-Automatic","2023","310,000","26,000","349,234",12.6561239422186,"2,019.583","3,076.923","239,400.00","125,555.1","-15,721.14"
"1712650239-297","https://qatarsale.com/en/product/pearl_suv_automatic_2024_avatr_11-215367","Avatr","Avatr-11","Avatr-Avatr-11-Standard-0-Automatic","2024","235,000","1,200","264,696",12.6365957446788,"2,023.333","0.00","244,666.67","24,333.33","-4,304"
"1712650227-267","https://qatarsale.com/en/product/bmw_6_series_650i_light_gold_sedan_automatic_2015-214956","BMW","BMW-6-Series","BMW-BMW-6-Series-650i-8-Automatic","2015","70,000","79,000","102,649.3",46.6418594285714,"2,016.00","76,666.67","114,666.33","-11,466.63","-550.3984"
"1712650201-206","https://qatarsale.com/en/product/bmw_8_series_850i_blue_sedan_automatic_2019-204477","BMW","BMW-8-Series","BMW-BMW-8-Series-850i-8-Automatic","2019","205,000","31,000","265,173.8",29.3530536585379,"2,020.143","34,333.33","283,571.43","-15,971.43","-2,426.24"
"1712650250-354","https://qatarsale.com/en/product/bmw_x_series_x5_green_suv_automatic_2023-200545","BMW","BMW-X-Series","BMW-BMW-X-Series-X5-6-Automatic","2023","244,000","29,000","283,173.8",16.0548254230622,"2,018.694","31,517.53","166,194.44","116,293.434","    685.8952"
"1712650189-161","https://qatarsale.com/en/product/dodge_challenger_gt_red_coupe_sport_automatic_2021-205350","Dodge","Dodge-Challenger","Dodge-Dodge-Challenger-GT-6-Automatic","2021","99,000","39,573","111,794.7",12.9239057239067,"2,020.50","33,333.33","105,750.00","7,250","-1,205.333"
"1712650227-258","https://qatarsale.com/en/product/dodge_ram_big_horn_dark_blue_pick_up_automatic_2017-195892","Dodge","Dodge-Ram","Dodge-Dodge-Ram-Big Horn-8-Automatic","2017","72,000","108,000","82,952.16",15.2113271604903,"2,020.30","134,416.67","131,600.00","-51,766.67","3,118.822"
"1712650239-306","https://qatarsale.com/en/product/ford_f_150_silver_pick_up_automatic_2016-215357","Ford","Ford-F","Ford-Ford-F-150-6-Automatic","2016","73,000","87,000","87,321.94",19.619093533914,"2,019.765","152,275.11","174,646.94","-95,237.39","7,912.383"
"1712650146-23","https://qatarsale.com/en/product/ford_raptor_svt_black_pick_up_automatic_2014-215164","Ford","Ford-Raptor","Ford-Ford-Raptor-SVT-8-Automatic","2014"," 48,000","286,000"," 71,714.93",49.4061111917543,"2,015.909","196,686.75","124,272.73","-39,971.52","-12,586.271"
"1712650146-7","https://qatarsale.com/en/product/land_rover_defender_90_hse_green_suv_automatic_2022-199479","Land Rover","Land Rover-Defender","Land Rover-Land Rover-Defender-90 HSE-6-Automatic","2022","265,000","40,000","297,826.5",12.3873672106567,"2,021.833","37,911.76","295,041.58","3,783.367"," -998.4269"
"1712650239-304","https://qatarsale.com/en/product/land_rover_evoque_dynamic_gold_suv_automatic_2016-215362","Land Rover","Land Rover-Evoque","Land Rover-Land Rover-Evoque-Dynamic-4-Automatic","2016","55,000","152,000","65,935.19",19.8821565421097,"2,017.125","104,169.08","99,812.50","-27,409.6","-6,467.712"
"1712650250-328","https://qatarsale.com/en/product/land_rover_range_rover_sport_svr_white_suv_automatic_2015-203178","Land Rover","Land Rover-Range Rover","Land Rover-Land Rover-Range Rover-Sport SVR-8-Automatic","2015","120,000","180,000","152,171.2",26.8092948349692,"2,017.50","138,523.81","239,950.00","-76,962.70","-10,816.15"
"1712650146-2","https://qatarsale.com/en/product/land_rover_range_rover_sport_svr_black_suv_automatic_2016-136302","Land Rover","Land Rover-Range Rover","Land Rover-Land Rover-Range Rover-Sport SVR-8-Automatic","2016","165,000"," 89,000","207,684.0",25.8690758835527,"2,017.50","127,380.95","239,950.00","-43,986.51"," 11,720.48"
"1712650178-119","https://qatarsale.com/en/product/land_rover_range_rover_sport_super_charged_white_suv_automatic_2016-215209","Land Rover","Land Rover-Range Rover","Land Rover-Land Rover-Range Rover-Sport Super charged-6-Automatic","2016"," 95,000","145,000","108,987.3",14.7234880343696,"2,015.917","101,704.76","119,666.58","-1,552.298","-9,126.972"
