"Id","Link","Make","Model","Trim","Year","Price","Mileage","L_Predicted_Price","L_Price_Gap_Percentage","R_Predicted_Price","R_Price_Gap_Percentage","Average_Year_per_Trim","Average_Milerange_per_Trim_Year_LR","Average_Price_per_Trim","Year_Effect","Mileage_Effect"
"1712650201-206","https://qatarsale.com/en/product/bmw_8_series_850i_blue_sedan_automatic_2019-204477","BMW","BMW-8-Series","BMW-BMW-8-Series-850i-8-Automatic","2019","205,000","31,000","265,173.8",29.3530536585379,"231,117.7",12.7403503902439,"2,020.143","34,333.33","283,571.43","-15,971.43","-2,426.24"
"1712650239-306","https://qatarsale.com/en/product/ford_f_150_silver_pick_up_automatic_2016-215357","Ford","Ford-F","Ford-Ford-F-150-6-Automatic","2016","73,000","87,000","87,321.94",19.619093533914,"111,152.5",52.2636529680365,"2,019.765","152,275.11","174,646.94","-95,237.39","7,912.383"
"1712650146-23","https://qatarsale.com/en/product/ford_raptor_svt_black_pick_up_automatic_2014-215164","Ford","Ford-Raptor","Ford-Ford-Raptor-SVT-8-Automatic","2014"," 48,000","286,000"," 71,714.93",49.4061111917543," 65,119.47",35.6655677083334,"2,015.909","196,686.75","124,272.73","-39,971.52","-12,586.271"
"1712650146-2","https://qatarsale.com/en/product/land_rover_range_rover_sport_svr_black_suv_automatic_2016-136302","Land Rover","Land Rover-Range Rover","Land Rover-Land Rover-Range Rover-Sport SVR-8-Automatic","2016","165,000"," 89,000","207,684.0",25.8690758835527,"187,717.2",13.7680000000001,"2,017.50","127,380.95","239,950.00","-43,986.51"," 11,720.48"
"1712650250-328","https://qatarsale.com/en/product/land_rover_range_rover_sport_svr_white_suv_automatic_2015-203178","Land Rover","Land Rover-Range Rover","Land Rover-Land Rover-Range Rover-Sport SVR-8-Automatic","2015","120,000","180,000","152,171.2",26.8092948349692,"132,612.6",10.5104695833333,"2,017.50","138,523.81","239,950.00","-76,962.70","-10,816.15"
"1712650157-62","https://qatarsale.com/en/product/land_rover_range_rover_velar_se_red_suv_automatic_2019-215180","Land Rover","Land Rover-Range Rover","Land Rover-Land Rover-Range Rover-Velar SE-4-Automatic","2019","150,000","22,000","166,124",10.7493333333333,"290,988.3",93.992195911111,"2,024.00","0.00","349,000.00","-174,500","-8,376"
"1712650227-283","https://qatarsale.com/en/product/land_rover_range_rover_vogue_bronze_suv_automatic_2016-189413","Land Rover","Land Rover-Range Rover","Land Rover-Land Rover-Range Rover-Vogue-8-Automatic","2016","139,000","64,000","160,162.7",15.2249567891693,"157,607.7",13.3868051079137,"2,015.683","125,936.36","142,975.59","  4,030.343","13,156.761"
"1712650146-29","https://qatarsale.com/en/product/land_rover_range_rover_vogue_autobiography_black_suv_automatic_2014-215154","Land Rover","Land Rover-Range Rover","Land Rover-Land Rover-Range Rover-Vogue  Autobiography-8-Automatic","2014","90,000","169,000","103,775.8",15.3064636826524,"117,698.6",30.7761811111111,"2,016.825","147,284.56","210,460.27","-102,770.5","-3,913.954"
"1712650227-259","https://qatarsale.com/en/product/lexus_lx_570_black_suv_automatic_2020-214974","Lexus","Lexus-LX","Lexus-Lexus-LX-570-8-Automatic","2020","    315"," 85,000","317,457.9",100680.278592951,"303,516.5",96254.455026455,"2,016.311"," 93,054.56","200,980.25","114,933.66","  1,543.965"
"1712650239-317","https://qatarsale.com/en/product/lexus_lx_570_s_white_suv_automatic_2018-215331","Lexus","Lexus-LX","Lexus-Lexus-LX-570 S-8-Automatic","2018","235,000"," 92,000","261,191.9",11.1454707837227,"259,070.8",10.2428790070922,"2,017.177","139,026.43","224,152.42"," 21,688.562"," 15,350.874"
