"web.scraper.order","web.scraper.start.url","image.src","make","model","trim","personal","year","gear_type","cylinder","mileage","price","time","likes","car","car.href","date_sold","posted_time","mileage_range","year2","b_make","b_model","b_trim","a","b","aa","bb","price_pmmt","avg_ymmt","avg_mileage_range","year_updated","mileage_range_updated","price_year_value","avg_mileage_range_updated","pred1","pred2","pred3","predicted_price_rf","price_difference","percentage_difference","percentage_difference_updated","price_difference_rf","percentage_difference_rf","percentage_difference_updated_rf","absolut_difference","Year_Effect","Mileage_Effect","pred3_pmmt","pmmt_difference","pmmt_absolute"
"1712650146-1","https://qatarsale.com/en/products/cars_for_sale?page=10","https://qsbproduction.blob.core.windows.net/119972-productcovers/119972_0_20230525083440630726_cover.webp","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-LE-8-Automatic","Show Car - Mawater City","Nissan-Nissan-Patrol-LE-8-Automatic-2015","Automatic",8,130000,79000,"22 hours ago",2715,NA,"https://qatarsale.com/en/product/nissan_patrol_le_2015_white_automatic_suv-119972","","","Nissan-Nissan-Patrol-LE-8-Automatic-130000","2015",-29803.7596511228,21392.8246088828,23233.7215595916,-35945007.6657007,17791.8791165528,35944311.8786035,-17760.334903195,177184.210526316,2020.07894736842,203333.333333333,"2015",130000,0,157237.048665635,81402.9477016537,84950.4293785754,84950.4293785754,83349.4,5950.42937857544,7.53218908680436,7.53218908680436,4349.39999999998,5.50556962025314,5.50556962025314,5950.42937857544,-95781.2628246621,3547.48167692177,126080.24492424,51103.9656020761,28.8422797100682
"1712650146-2","https://qatarsale.com/en/products/cars_for_sale?page=10","https://qsbproduction.blob.core.windows.net/136302-productcovers/30a64a06-8fb9-42cd-af0c-c2331bbdb746_0_cover.webp","Land Rover","Land Rover-Range Rover","Land Rover-Land Rover-Range Rover-Sport SVR-8-Automatic","Show Car - Mawater City","Land Rover-Land Rover-Range Rover-Sport SVR-8-Automatic-2016","Automatic",8,89000,165000,"22 hours ago",3316,NA,"https://qatarsale.com/en/product/land_rover_range_rover_sport_svr_black_suv_automatic_2016-136302","","","Land Rover-Land Rover-Range Rover-Sport SVR-8-Automatic-90000","2016",45484.2440943665,-33953.5800727703,66938.9815789474,-66523457.5605692,32976.190476191,22591380.952381,-11142.8571428571,239950,2017.5,95000,"2016",90000,0,127380.952380955,195963.492063492,207683.975207862,207683.975207862,187717.2,42683.9752078619,25.8690758835527,25.8690758835527,22717.2000000001,13.7680000000001,13.7680000000001,42683.9752078619,-43986.5079365078,11720.4831443698,179927.564504912,60022.4354950875,25.0145594895134
"1712650146-3","https://qatarsale.com/en/products/cars_for_sale?page=10","https://qsbproduction.blob.core.windows.net/215171-productcovers/1438ebe1-0bf3-470f-8434-e627a26b74da_0_cover.webp","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","Twin Turbo - Mawater City","Toyota-Toyota-Land Cruiser-GX-6-Automatic-2019","Automatic",6,130000,118000,"22 hours ago",71,NA,"https://qatarsale.com/en/product/toyota_land_cruiser_gx_white_suv_automatic_2019-215171","","","Toyota-Toyota-Land Cruiser-GX-6-Automatic-130000","2019",43423.6054989566,25284.0485718444,-18639.0611018364,-30656570.1194305,15156.5134739096,53740389.3854743,-26547.2817014016,212786.343612335,2022.19383259912,167500,"2019",130000,0,141427.630344361,155450.584392913,158292.875297324,158292.875297324,132213.7,40292.8752973241,34.1465044892577,34.1465044892577,14213.7,12.0455084745763,12.0455084745763,40292.8752973241,-57335.7592194221,2842.29090441138,200508.411854623,12277.9317577119,5.77007506650917
"1712650146-4","https://qatarsale.com/en/products/cars_for_sale?page=10","https://qsbproduction.blob.core.windows.net/133187-productcovers/133187_0_20230717093623015896_cover.webp","Bentley","Bentley-Bentayga","Bentley-Bentley-Bentayga-First Edition-12-Automatic","Show Car - Mawater City","Bentley-Bentley-Bentayga-First Edition-12-Automatic-2017","Automatic",12,63000,329000,"22 hours ago",3221,NA,"https://qatarsale.com/en/product/bentley_bentayga_first_edition_2017_gray_automatic_suv-133187","","","Bentley-Bentley-Bentayga-First Edition-12-Automatic-70000","2017",100558.279243474,47730.1137254902,2426.53333333333,-6.06329801181952e-13,0,66666.6666666667,0,313999.833333333,2017,66666.6666666667,"2017",70000,0,66666.6666666667,311666.333333333,310004.112888889,310004.112888889,317846.922938095,-18995.8871111111,-5.77382586963863,-5.77382586963863,-11153.0770619048,-3.3899930279346,-3.3899930279346,18995.8871111111,-2333.49999999994,-1662.22044444445,310004.112888889,3995.72044444439,1.27252310997333
"1712650146-6","https://qatarsale.com/en/products/cars_for_sale?page=10","https://qsbproduction.blob.core.windows.net/215170-productcovers/a87e1190-ec60-4d11-a9d8-7e5765654684_0_cover.webp","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-Titanium-6-Automatic","Al Kawthar - Mawater City","Nissan-Nissan-Patrol-Titanium-6-Automatic-2023","Automatic",6,13000,195000,"22 hours ago",48,NA,"https://qatarsale.com/en/product/nissan_patrol_titanium_black_suv_automatic_2023-215170","","","Nissan-Nissan-Patrol-Titanium-6-Automatic-20000","2023",-29803.7596511228,21392.8246088828,59341.880952381,-24601427.9669756,12163.1578947365,30401729.4117636,-15023.5294117641,213304.347826087,2022.8115942029,1764.70588235294,"2023",20000,0,9129.41176470369,216522.807017545,212756.838571724,212756.838571724,201572.898480544,17756.8385717236,9.10607106242238,9.10607106242238,6572.8984805441,3.37071716950979,3.37071716950979,17756.8385717236,3218.45919145789,-3765.9684458212,196999.997952529,16304.3498735584,7.6437025497726
"1712650146-7","https://qatarsale.com/en/products/cars_for_sale?page=10","https://qsbproduction.blob.core.windows.net/199479-productcovers/dbd4d097-3af1-456a-827e-3dd8e753251c_0_cover.webp","Land Rover","Land Rover-Defender","Land Rover-Land Rover-Defender-90 HSE-6-Automatic","Show Car - Mawater City","Land Rover-Land Rover-Defender-90 HSE-6-Automatic-2022","Automatic",6,40000,265000,"22 hours ago",1238,NA,"https://qatarsale.com/en/product/land_rover_defender_90_hse_green_suv_automatic_2022-199479","","","Land Rover-Land Rover-Defender-90 HSE-6-Automatic-40000","2022",45484.2440943665,103302.876048511,-18349.7493961353,-82860830.1277878,40983.3166666716,10712882.3529398,-5279.41176470518,295041.583333333,2021.83333333333,44705.8823529412,"2022",40000,0,37911.7647058833,298824.950000005,297826.52310824,297826.52310824,280862.531533333,32826.5231082403,12.3873672106567,12.3873672106567,15862.5315333332,5.98586095597481,5.98586095597481,32826.5231082403,3783.3666666713,-998.426891764277,300217.12270824,-5175.53937490709,-1.75417285808823
"1712650146-8","https://qatarsale.com/en/products/cars_for_sale?page=10","https://qsbproduction.blob.core.windows.net/211887-productcovers/b11e03f6-f06f-4e58-8ce7-baf47d8a6fd7_0_cover.webp","Lexus","Lexus-LX","Lexus-Lexus-LX-570 S-8-Automatic","Show Car - Mawater City","Lexus-Lexus-LX-570 S-8-Automatic-2016","Automatic",8,178000,181000,"22 hours ago",735,NA,"https://qatarsale.com/en/product/lexus_lx_570_s_white_suv_automatic_2016-211887","","","Lexus-Lexus-LX-570 S-8-Automatic-180000","2016",54098.7719572914,13677.0579784978,-5411.46503700008,-59899105.1833504,29693.5730395604,46157764.3102579,-22804.1317537058,224152.420731707,2017.17682926829,192777.777777778,"2016",180000,0,184634.694787003,186453.836333314,187836.486930547,187836.486930547,193616.733333333,6836.48693054699,3.77706460251215,3.77706460251215,12616.7333333333,6.97057090239408,6.97057090239408,6836.48693054699,-37698.5843983935,1382.65059723318,226144.305812241,-1991.88508053386,-0.888629743114837
"1712650146-9","https://qatarsale.com/en/products/cars_for_sale?page=10","https://qsbproduction.blob.core.windows.net/212995-productcovers/fe143b7c-714f-4cf1-a53d-d5f521c11be1_0_cover.webp","Lexus","Lexus-LX","Lexus-Lexus-LX-570 S-8-Automatic","Show Car - Mawater City","Lexus-Lexus-LX-570 S-8-Automatic-2015","Automatic",8,3e+05,115000,"22 hours ago",93,NA,"https://qatarsale.com/en/product/lexus_lx_570_s_white_suv_automatic_2015-212995","","","Lexus-Lexus-LX-570 S-8-Automatic-3e+05","2015",54098.7719572914,13677.0579784978,-5411.46503700008,-59899105.1833504,29693.5730395604,46157764.3102579,-22804.1317537058,224152.420731707,2017.17682926829,216666.666666667,"2015",3e+05,0,207438.826540709,156760.263293752,133544.401018141,133544.401018141,121945.828571429,18544.4010181408,16.1255661027311,16.1255661027311,6945.82857142862,6.03985093167706,6.03985093167706,18544.4010181408,-67392.157437955,-23215.8622756115,226144.305812241,-1991.88508053386,-0.888629743114837
"1712650146-10","https://qatarsale.com/en/products/cars_for_sale?page=10","https://qsbproduction.blob.core.windows.net/212997-productcovers/6d3a71b1-7487-4545-aafb-319e3a459abf_0_cover.webp","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR White Edition-8-Automatic","Show Car - Mawater City","Toyota-Toyota-Land Cruiser-GXR White Edition-8-Automatic-2017","Automatic",8,133000,159000,"22 hours ago",137,NA,"https://qatarsale.com/en/product/toyota_land_cruiser_gxr_white_edition_white_suv_automatic_2017-212997","","","Toyota-Toyota-Land Cruiser-GXR White Edition-8-Automatic-140000","2017",43423.6054989566,25284.0485718444,-39659.0611018364,-45829958.3333333,22708.3333333333,52260833.3333333,-25833.3333333333,190000,2018.2,155000,"2017",140000,0,155000,162750,166656,166656,159491.452380952,7656,4.81509433962264,4.81509433962264,491.452380952396,0.309089547768803,0.309089547768803,7656,-27250,3906,166656,23344,12.2863157894737
"1712650146-11","https://qatarsale.com/en/products/cars_for_sale?page=10","https://qsbproduction.blob.core.windows.net/215169-productcovers/a8d20ffd-afa7-4e2b-91dc-d5b1b068259f_0_cover.webp","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-8-Automatic","525","Toyota-Toyota-Land Cruiser-GXR-8-Automatic-2020","Automatic",8,90000,193000,"22 hours ago",23,NA,"https://qatarsale.com/en/product/toyota_land_cruiser_gxr_white_suv_automatic_2020-215169","","","Toyota-Toyota-Land Cruiser-GXR-8-Automatic-90000","2020",43423.6054989566,25284.0485718444,-64091.9940286657,-31302391.8428448,15512.3153186955,51296131.5009369,-25337.6795557454,164699.995652174,2017.84782608696,123768.115942029,"2020",90000,0,114018.798331305,198052.167993259,205663.328124632,205663.328124632,192199.577985281,12663.328124632,6.56130990913574,6.56130990913574,-800.422014718613,-0.414726432496691,-0.414726432496691,12663.328124632,33352.1723410854,7611.16013137266,156591.534240483,8108.46141169086,4.92317038599985
"1712650146-13","https://qatarsale.com/en/products/cars_for_sale?page=10","https://qsbproduction.blob.core.windows.net/215168-productcovers/df08c6ae-a37e-4fb0-a2ec-fb3d0ab8e0a2_0_cover.webp","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-Platinum-8-Automatic","Sharq Al Doha Showroom - Mawater City","Nissan-Nissan-Patrol-Platinum-8-Automatic-2015","Automatic",8,180000,88000,"22 hours ago",13,NA,"https://qatarsale.com/en/product/nissan_patrol_platinum_white_suv_automatic_2015-215168","","","Nissan-Nissan-Patrol-Platinum-8-Automatic-180000","2015",-29803.7596511228,21392.8246088828,-41809.2891930966,-47280378.9946468,23450.8376226381,46026417.8256397,-22750.3909619614,109031.738095238,2016.03174603175,184666.666666667,"2015",180000,0,184380.037287474,83789.9977647245,84377.2030679674,84377.2030679674,85655.7595238095,-3622.79693203259,-4.11681469549158,-4.11681469549158,-2344.24047619046,-2.66390963203462,-2.66390963203462,3622.79693203259,-25241.7403305136,587.205303242925,88203.1908456617,20828.5472495764,19.1031965677579
"1712650146-14","https://qatarsale.com/en/products/cars_for_sale?page=10","https://qsbproduction.blob.core.windows.net/211772-productcovers/5268f687-1ab5-4db7-ac36-2be9516fa03d_0_cover.webp","Toyota","Toyota-Supra","Toyota-Toyota-Supra-GR-6-Automatic","U Cars - Mawater City","Toyota-Toyota-Supra-GR-6-Automatic-2020","Automatic",6,37000,192000,"22 hours ago",491,NA,"https://qatarsale.com/en/product/toyota_supra_gr_white_coupe_sport_automatic_2020-211772","","","Toyota-Toyota-Supra-GR-6-Automatic-40000","2020",43423.6054989566,14158.3208033413,-14755.5555555556,-14891813.4920664,7369.04761904904,17144183.6734571,-8469.38775509596,208363.636363636,2020.90909090909,35714.2857142857,"2020",40000,0,36020.4081632532,197440.476190474,196183.304178808,196183.304178808,207204.1,4183.30417880806,2.17880425979586,2.17880425979586,15204.0999999999,7.91880208333329,7.91880208333329,4183.30417880806,-10923.1601731627,-1257.17201166562,196183.304178808,12180.3321848283,5.84570916374831
"1712650146-16","https://qatarsale.com/en/products/cars_for_sale?page=10","https://qsbproduction.blob.core.windows.net/210880-productcovers/c224ca38-9bbf-4b8b-9a26-792fe1daf74a_0_cover.webp","Mercedes-Benz","Mercedes-Benz-C-Class","Mercedes-Benz-Mercedes-Benz-C-Class-300 AMG-4-Automatic","U Cars - Mawater City","Mercedes-Benz-Mercedes-Benz-C-Class-300 AMG-4-Automatic-2017","Automatic",4,51000,147000,"22 hours ago",339,NA,"https://qatarsale.com/en/product/mercedes_benz_c_class_300_amg_white_coupe_sport_automatic_2017-210880","","","Mercedes-Benz-Mercedes-Benz-C-Class-300 AMG-4-Automatic-60000","2017",-3463.39963732009,-12562.6790355064,20074.671641791,-29884354.8387097,14806.4516129032,12088225.8064516,-5967.74193548387,165000,2018.33333333333,60000,"2017",60000,0,51290.3225806449,145258.064516131,143233.823100938,143233.823100938,136082.4312,-3766.17689906177,-2.56202510140257,-2.56202510140257,-10917.5688000001,-7.42691755102045,-7.42691755102045,3766.17689906177,-19741.9354838692,-2024.24141519261,143233.823100938,21766.1768990618,13.1916223630677
